Food Item (English),Food Item (Hindi),Nutrient per 100g (g),Protein,Vitamin A,Iron,Carbohydrates
Potatoes (mashed),मैश किए हुए आलू,17.0,0,0,0,1
Banana (ripe),पका हुआ केला,23.0,0,0,0,1
Soft cooked oats,मुलायम पकी जई,12.0,0,0,0,1
Soft poha,नरम पोहा,30.0,0,0,0,1
Suji kheer/halwa,सूजी की खीर/हलवा,25.0,0,0,0,1
Rice porridge (kanji),चावल का दलिया,15.0,0,0,0,1
Soft idli,नरम इडली,23.0,0,0,0,1
Kheer,खीर,24.0,0,0,0,1
Soft dosa,नरम डोसा,21.0,0,0,0,1
Vermicelli kheer,सेवई की खीर,30.0,0,0,0,1
Arrowroot porridge,अरारोट का दलिया,11.0,0,0,0,1
Sago khichdi,साबूदाना खिचड़ी,27.0,0,0,0,1
Jowar roti (soft),नरम ज्वार की रोटी,34.0,0,0,0,1
Soft puffed rice,नरम मुरमुरा,70.0,0,0,0,1
Sweet paratha,मीठा पराठा,52.0,0,0,0,1
Soft cheela,नरम चीला,18.0,0,0,0,1
Aloo paratha (soft),नरम आलू पराठा,47.0,0,0,0,1
Missi roti (soft),नरम मिस्सी रोटी,43.0,0,0,0,1
Plain paratha (soft),नरम सादा पराठा,46.0,0,0,0,1
Puri (soft),नरम पूरी,53.0,0,0,0,1
Bread pakora (soft),नरम ब्रेड पकौड़ा,34.0,0,0,0,1
Soft bread slices,नरम ब्रेड स्लाइस,50.0,0,0,0,1
Wheat dalia,गेहूं का दलिया,18.0,0,0,0,1
Soft rice dosa,नरम चावल डोसा,28.0,0,0,0,1
Broken wheat upma,दलिया उपमा,20.0,0,0,0,1
Sweet pongal,मीठा पोंगल,30.0,0,0,0,1
Soft bhakri,नरम भाकरी,35.0,0,0,0,1
